LPHU,LGA,Population,SEIFA IRSD
WPHU,Brimbank,194639,1
WPHU,Hobsons Bay,91326,7
WPHU,Maribyrnong,85174,6
WPHU,Melbourne,149573,7
WPHU,Melton,178930,5
WPHU,Moonee Valley,121835,8
WPHU,Moreland,171347,7
WPHU,Wyndham,292034,7
SEPHU,Bayside (Vic.),101286,10
SEPHU,Cardinia,118203,8
SEPHU,Casey,365211,7
SEPHU,Frankston,139303,6
SEPHU,Glen Eira,148960,10
SEPHU,Greater Dandenong,158210,1
SEPHU,Kingston (Vic.),158058,9
SEPHU,Monash,190365,9
SEPHU,Mornington Peninsula,168999,8
SEPHU,Port Phillip,101891,10
SEPHU,Stonnington,104719,10
Ovens-Murray,Alpine,13252,5
Ovens-Murray,Indigo,17349,8
Ovens-Murray,Towong,6261,5
Ovens-Murray,Wangaratta,29817,4
Ovens-Murray,Wodonga,43271,4
NEPHU,Banyule,126302,9
NEPHU,Boroondara,167904,10
NEPHU,Darebin,148606,7
NEPHU,Hume,243867,2
NEPHU,Knox,159133,9
NEPHU,Manningham,124667,9
NEPHU,Maroondah,115069,9
NEPHU,Nillumbik,62916,10
NEPHU,Whitehorse,169241,9
NEPHU,Whittlesea,229399,5
NEPHU,Yarra,90165,8
NEPHU,Yarra Ranges,156038,8
Loddon Mallee,Buloke,6171,3
Loddon Mallee,Campaspe,38689,3
Loddon Mallee,Gannawarra,10653,3
Loddon Mallee,Greater Bendigo,121441,4
Loddon Mallee,Loddon,7791,2
Loddon Mallee,Macedon Ranges,51469,9
Loddon Mallee,Mildura,56952,1
Loddon Mallee,Mount Alexander,20287,6
Loddon Mallee,Swan Hill,21405,2
Grampians,Ararat,11845,1
Grampians,Ballarat,113804,4
Grampians,Central Goldfields,13496,1
Grampians,Hepburn,16606,6
Grampians,Hindmarsh,5688,2
Grampians,Horsham,20430,4
Grampians,Moorabool,37640,7
Grampians,Northern Grampians,11981,1
Grampians,Pyrenees,7618,3
Grampians,West Wimmera,4017,5
Grampians,Yarriambiack,6539,1
Goulburn Valley,Benalla,14534,2
Goulburn Valley,Greater Shepparton,68454,2
Goulburn Valley,Mansfield,10201,7
Goulburn Valley,Mitchell,49518,6
Goulburn Valley,Moira,30522,2
Goulburn Valley,Murrindindi,15199,6
Goulburn Valley,Strathbogie,11426,4
Gippsland,Bass Coast,40750,3
Gippsland,Baw Baw,57573,6
Gippsland,East Gippsland,48695,3
Gippsland,Latrobe (Vic.),77330,1
Gippsland,South Gippsland,30575,5
Gippsland,Wellington,45605,4
Barwon,Colac Otway,22384,3
Barwon,Corangamite,16113,4
Barwon,Glenelg,20138,2
Barwon,Golden Plains,25006,8
Barwon,Greater Geelong,271072,6
Barwon,Moyne,17332,8
Barwon,Queenscliffe,3283,10
Barwon,Southern Grampians,16571,5
Barwon,Surf Coast,37681,10
Barwon,Warrnambool,35392,5
,,9106,
,Unincorporated Vic,925,3
