Postcode,Population,SEIFA
3000,43053,3
3002,4885,10
3003,8070,8
3004,11476,10
3006,22671,9
3008,15501,8
3011,22308,4
3012,27049,4
3013,15604,9
3015,18653,9
3016,16024,9
3018,13567,7
3019,9677,1
3020,44376,1
3021,55064,1
3022,3138,1
3023,67150,4
3024,34019,4
3025,13002,2
3026,8817,1
3027,9452,9
3028,28179,3
3029,129897,5
3030,119210,6
3031,17817,3
3032,29904,7
3033,15118,7
3034,12328,5
3036,5977,9
3037,51384,5
3038,26685,6
3039,16231,9
3040,26744,9
3041,13065,10
3042,16778,7
3043,17942,4
3044,28719,7
3046,36752,3
3051,14958,3
3052,7312,8
3053,16013,1
3054,8211,10
3055,14755,7
3056,24908,8
3057,13242,9
3058,34870,6
3060,14307,1
3068,19341,9
3141,25000,9
3207,17637,9
3211,1355,8
3335,6179,6
3336,21149,
3337,40718,2
3338,36981,2
3340,25653,5
3427,5654,5
